ns:cricket.cricket_bowler.technique	ns:cricket.cricket_bowler	ns:cricket.cricket_bowling_technique
ns:protected_sites.iucn_category.protected_areas	ns:protected_sites.iucn_category	ns:protected_sites.protected_site
ns:base.fictionaluniverse.fictional_spacecraft_designer.spacecraft_classes_designed	ns:base.fictionaluniverse.fictional_spacecraft_designer	ns:base.fictionaluniverse.fictional_spacecraft_class
ns:music.composition.place_of_first_performance	ns:music.composition	ns:location.location
ns:base.infrastructure.lock.on_body_of_water	ns:base.infrastructure.lock	ns:geography.body_of_water
ns:celebrities.celebrity.celebrity_rivals..celebrities.rivalry.rival	ns:celebrities.celebrity	ns:celebrities.celebrity
ns:sports.sports_team_coach.teams_coached..sports.sports_team_coach_tenure.team	ns:sports.sports_team_coach	ns:sports.sports_team
ns:base.warriors.clan_cat.previously_leader_of	ns:base.warriors.clan_cat	ns:base.warriors.clan
ns:base.crime.convicted_criminal.convictions..base.crime.criminal_conviction.criminal_trial	ns:base.crime.convicted_criminal	ns:base.crime.criminal_trial
ns:language.human_language.region	ns:language.human_language	ns:location.location
ns:cvg.musical_game.songs..cvg.musical_game_song_relationship.platforms	ns:cvg.musical_game	ns:cvg.cvg_platform
ns:government.government_agency.successor_agency	ns:government.government_agency	ns:government.government_agency
ns:base.americancomedy.comedian.performed_in_venues	ns:base.americancomedy.comedian	ns:base.americancomedy.comedy_venue
ns:user.yarnover.default_domain.handcraft.handcraft_medium	ns:user.yarnover.default_domain.handcraft	ns:common.topic
ns:base.engineering.dike.body_of_water	ns:base.engineering.dike	ns:base.engineering.flooding_body_of_water
ns:base.crime.criminal_trial.resulting_acquittal..base.crime.acquittal.acquitted_person	ns:base.crime.criminal_trial	ns:base.crime.acquitted_person
ns:architecture.landscape_project.address..location.mailing_address.citytown	ns:architecture.landscape_project	ns:location.location
ns:geography.mountain_type.mountains_of_this_type	ns:geography.mountain_type	ns:geography.mountain
ns:aviation.airliner_accident.aircraft_type	ns:aviation.airliner_accident	ns:aviation.aircraft_model
ns:base.bioventurist.bv_therapeutic.indication_or_disease..base.bioventurist.indication.therapeutic	ns:base.bioventurist.bv_therapeutic	ns:base.bioventurist.bv_therapeutic
ns:education.academic.advisors	ns:education.academic	ns:education.academic
ns:base.schemastaging.sumo_wrestler.yusho..base.schemastaging.yusho_count.division	ns:base.schemastaging.sumo_wrestler	ns:base.schemastaging.sumo_division
ns:location.province.capital	ns:location.province	ns:location.citytown
ns:base.bioventurist.product.sales..base.bioventurist.sales.company_reporting	ns:base.bioventurist.product	ns:base.bioventurist.science_or_technology_company
ns:user.alexbl.honorary_title.titled_person.honorary_title..user.alexbl.honorary_title.honorary_title_holding.conferred_by	ns:user.alexbl.honorary_title.titled_person	ns:user.alexbl.honorary_title.title_presenter
ns:computer.web_browser.extensions	ns:computer.web_browser	ns:computer.web_browser_extension
ns:base.schemastaging.tv_character_extra.regular_dubbing_performances..base.schemastaging.tv_star_dubbing_performance.actor	ns:base.schemastaging.tv_character_extra	ns:base.schemastaging.tv_actor_extra
ns:user.cip22.default_domain.research_institute.building	ns:user.cip22.default_domain.research_institute	ns:architecture.building
ns:award.award_presenting_organization.award_categories_presented	ns:award.award_presenting_organization	ns:award.award_category
ns:base.popstra.celebrity.endorsements..base.popstra.paid_support.company	ns:base.popstra.celebrity	ns:base.popstra.company
ns:business.product_line.producer_s..business.company_product_line_relationship.company	ns:business.product_line	ns:business.consumer_company
ns:measurement_unit.power_unit.measurement_system	ns:measurement_unit.power_unit	ns:measurement_unit.measurement_system
ns:base.fictionaluniverse.deceased_fictional_character.place_of_cremation	ns:base.fictionaluniverse.deceased_fictional_character	ns:fictional_universe.fictional_setting
ns:user.jamie.default_domain.yacht_racing.yacht_club.location	ns:user.jamie.default_domain.yacht_racing.yacht_club	ns:location.location
ns:religion.religious_organization.leaders..religion.religious_organization_leadership.role	ns:religion.religious_organization	ns:religion.religious_leadership_title
ns:base.catalog.cataloged_composition.catalog_number..base.catalog.music_catalog_entry.music_catalog	ns:base.catalog.cataloged_composition	ns:base.catalog.music_catalog
ns:user.skud.legal.treaty.signatures..user.skud.legal.treaty_signature.signatory	ns:user.skud.legal.treaty	ns:user.skud.legal.treaty_signatory
ns:base.tibetanbuddhism.lineage_member.student_of	ns:base.tibetanbuddhism.lineage_member	ns:people.person
ns:base.disaster2.wrecked_ship.shipwreck	ns:base.disaster2.wrecked_ship	ns:base.disaster2.shipwreck
ns:location.country.internet_tld	ns:location.country	ns:internet.top_level_domain
ns:base.morelaw.legal_system.type_of_legal_system	ns:base.morelaw.legal_system	ns:base.morelaw.type_of_legal_system
ns:astronomy.galactic_super_cluster.galaxy_clusters	ns:astronomy.galactic_super_cluster	ns:astronomy.galactic_cluster
ns:base.fight.protest_type.protests_of_this_type	ns:base.fight.protest_type	ns:base.fight.protest
ns:film.film.genre	ns:film.film	ns:film.film_genre
ns:user.joehughes.default_domain.transit_application.agencies	ns:user.joehughes.default_domain.transit_application	ns:user.joehughes.default_domain.transit_agency
ns:business.consumer_company.brands..business.company_brand_relationship.brand	ns:business.consumer_company	ns:business.brand
ns:base.disaster2.tactic.attacks_of_this_form..base.disaster2.attack_process.object_used_as_weapon	ns:base.disaster2.tactic	ns:base.disaster2.object_used_as_weapon
ns:base.philbsuniverse.musical_album_detailed_view.artist_s_or_band_s	ns:base.philbsuniverse.musical_album_detailed_view	ns:base.philbsuniverse.artist_s_or_band_s
ns:base.folklore.named_mythical_creature.extended_family..base.folklore.named_mythical_creature_extended_family.named_mythical_creature	ns:base.folklore.named_mythical_creature	ns:base.folklore.named_mythical_creature
ns:law.court.judges..law.judicial_tenure.title	ns:law.court	ns:law.judicial_title
ns:base.engineeringdraft.manufacturing_location.production..base.engineeringdraft.manufacturing_plant_production.item	ns:base.engineeringdraft.manufacturing_location	ns:base.engineeringdraft.manufactured_component
ns:sports.pro_athlete.teams..soccer.football_roster_position.position	ns:sports.pro_athlete	ns:sports.sports_position
ns:base.computerscience.computer_architecture.cpu_design	ns:base.computerscience.computer_architecture	ns:base.computerscience.cpu_design
ns:organization.organization_partnership.members	ns:organization.organization_partnership	ns:organization.organization
ns:measurement_unit.dimension.instruments	ns:measurement_unit.dimension	ns:measurement_unit.measuring_instrument
ns:user.arielb.israel.israeli_settlement.direction_from_barrier	ns:user.arielb.israel.israeli_settlement	ns:common.topic
ns:martial_arts.martial_arts_organization.qualifications_awarded..martial_arts.martial_arts_certification.art	ns:martial_arts.martial_arts_organization	ns:martial_arts.martial_art
ns:cvg.computer_videogame.platforms	ns:cvg.computer_videogame	ns:cvg.cvg_platform
ns:business.business_location.in_shopping_center	ns:business.business_location	ns:business.shopping_center
ns:sports.pro_athlete.teams..sports.sports_team_roster.position	ns:sports.pro_athlete	ns:sports.sports_position
ns:base.disaster2.pandemic.disease	ns:base.disaster2.pandemic	ns:base.disaster2.infectious_disease
ns:base.onephylogeny.type_of_thing.things_of_this_type	ns:base.onephylogeny.type_of_thing	ns:common.topic
ns:fashion.fashion_label.designers..fashion.designer_label_association.designer	ns:fashion.fashion_label	ns:fashion.fashion_designer
ns:location.country.national_anthem..government.national_anthem_of_a_country.anthem	ns:location.country	ns:government.national_anthem
ns:fictional_universe.fictional_organization.sub_organization_in_fiction	ns:fictional_universe.fictional_organization	ns:fictional_universe.fictional_organization
ns:user.jeff.default_domain.football_tournament_participating_team.tournament_results..user.jeff.default_domain.football_tournament_match_statistics.tournament	ns:user.jeff.default_domain.football_tournament_participating_team	ns:base.tournaments.tournament
ns:measurement_unit.current_unit.measurement_system	ns:measurement_unit.current_unit	ns:measurement_unit.measurement_system
ns:location.country.form_of_government	ns:location.country	ns:government.form_of_government
ns:user.lukeschubert.default_domain.language_classification.lower_classifications	ns:user.lukeschubert.default_domain.language_classification	ns:user.lukeschubert.default_domain.language_classification
ns:food.candy_bar.manufacturer	ns:food.candy_bar	ns:food.candy_bar_manufacturer
ns:measurement_unit.measurement_system.magnetic_flux_density_units	ns:measurement_unit.measurement_system	ns:measurement_unit.magnetic_flux_density_unit
ns:base.conservationaction.participant.participated_in..base.conservationaction.participation.group_activity	ns:base.conservationaction.participant	ns:base.conservationaction.participation_group
